name,canonical
Infusion probiotique Mélisse,Infusion Mélisse 
Infusion probiotique Zest d'agrumes,Infusion Zest d'agrumes
Infusion probiotique menthe poivrée,Infusion menthe poivrée
Kéfir Gingembre,Gingembre
Kéfir Mangue Passion,Mangue Passion
Kéfir Pamplemousse,Pamplemousse
Kéfir de fruits Original,Original
Kéfir menthe citron vert,Menthe citron vert
Kéfir Pêche,Pêche
NIKO - Kéfir de fruits Gingembre,Gingembre
NIKO - Kéfir de fruits Mangue Passion,Mangue Passion
NIKO - Kéfir de fruits Menthe Citron-vert,Menthe citron vert
NIKO - Kéfir de fruits Pêche,Pêche
Probiotic infusion zests,Infusion Zest d'agrumes
Probiotic water Lemonbalm,Infusion Mélisse 
Probiotic water Peppermint,Infusion menthe poivrée
